title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#JumanjiWelcometotheJungle,Adventure,20171220,PG-13,68.67,90000000,36169328,397250265,934106524,0.40188142222222223,0.5066400938418747,0.6602108756187939,0.4715422446492161,42.29807768098133,0.16062499999999996,100
#Marshall,Drama,20171013,PG-13,69.0,12000000,3000805,10051659,10111433,0.2500670833333333,0.5230046515222484,-0.6591831293479498,-0.500540200510678,23.86944945448628,0.27203900000000003,100
#AtomicBlonde,Thriller/Suspense,20170728,R,69.0,30000000,18286420,51573925,98368372,0.6095473333333333,0.5230046515222484,-0.3547075897402397,-0.05255890194719498,61.01791259122095,0.11227250000000003,80
#BilalANewBreedofHero,Adventure,20180202,PG-13,69.5,30000000,309951,490515,636684,0.010331700000000001,0.5477994358864511,-0.3547075897402397,-0.5794020761476572,0.06745769385089706,0.3182,1
#EarlyMan,Adventure,20180216,PG,70.0,50000000,3190525,8030418,37017343,0.0638105,0.5725942202506538,-0.016401434620561834,-0.4949800047342265,5.947282776161639,0.391806779661017,59
#ChasingtheDragon,Action,20170928,,70.0,200000000,138346,456854,86855981,0.00069173,0.5725942202506538,2.5208947287770225,-0.5844313687695102,1.993799211488656,0.22567714285714283,35
#ThankYouforYourService,Drama,20171027,R,70.0,20000000,3817700,9479390,9718331,0.190885,0.5725942202506538,-0.5238606673000786,-0.4765991498633854,18.184035253223804,0.5967650000000001,100
#Hostiles,Western,20171222,R,70.33,55000000,22849,29614666,30801855,0.0004154363636363636,0.5889587779310275,0.06817510415935764,-0.5878162830199467,-0.4769550475858719,0.40516499999999994,100
#mother,Thriller/Suspense,20170913,R,70.33,33000000,7534673,17800004,42558972,0.22832342424242424,0.5889587779310275,-0.30396166647228806,-0.3676644166998584,22.38201070230145,0.22141699999999997,100
#CaptainUnderpantsTheFirstEpicMovie,Adventure,20170602,PG,72.33,38000000,23851539,73921000,123261024,0.6276720789473684,0.6881379153878381,-0.21938512769236854,0.1105401448546715,63.457040972141655,,0
