title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
#ChapterVerse,Drama,20170208,R,79.67,40000000,32713,84147,84147,0.000817825,1.0541703890839804,-0.18555451218040078,-0.5875271950421957,-0.30398503818081185
#SpiderManHomecoming,Action,20170707,PG-13,80.0,175000000,117027503,334201140,880206511,0.6687285885714286,1.0705466285286926,2.098012034877425,2.8412833532649544,10.857311135650312
#LoganLucky,Comedy,20170818,PG-13,80.67,29000000,7600036,27778642,39212299,0.26207020689655175,1.10379535709826,-0.3716228974962236,-0.36574879854396447,0.7868854832037626
#WonderWoman,Action,20170602,PG-13,81.0,150000000,103251471,412563408,817012815,0.68834314,1.1201715965429722,1.6751293409778276,2.4375439744822165,9.735418306485233
#ITonya,Comedy,20171208,R,81.0,11000000,264155,29509813,45709813,0.02401409090909091,1.1201715965429722,-0.6760984371039337,-0.580744236835926,-0.6453730415055409
#ThePost,Drama,20171222,PG-13,81.33,50000000,526011,81159866,152400164,0.01052022,1.1365478359876842,-0.016401434620561834,-0.5730699240315907,0.005567213303940818
#Annihilation,Thriller/Suspense,20180223,R,81.67,55000000,11071584,26246833,26246833,0.20130152727272727,1.1534203251125394,0.06817510415935764,-0.26400682865492414,1.2974863537802306
#ThorRagnarok,Action,20171103,PG-13,82.0,180000000,122744989,315034967,850630090,0.6819166055555556,1.1697965645572515,2.1825885736573447,3.0088478773484493,11.415830709578163
#BladeRunner2049,Thriller/Suspense,20171006,R,83.33,185000000,32753122,92054159,259103376,0.1770439027027027,1.2357977720162432,2.267165112437264,0.37142220367995427,4.776938999921524
#WarforthePlanetoftheApes,Action,20170714,PG-13,83.33,152000000,56262929,146880162,490280162,0.37015084868421055,1.2357977720162432,1.7089599564897955,1.0604330068983308,6.176076288355331
#StarWarsTheLastJedi,Action,20171213,PG-13,83.33,200000000,220009584,619483244,1321513738,1.10004792,1.2357977720162432,2.5208947287770225,5.8594181404586525,18.77567254171057
#Logan,Action,20170303,R,83.67,127000000,88411916,226277068,615577068,0.6961568188976378,1.2526702611410983,1.2860772625901982,2.0026355250018244,8.632489030427859
#TheShapeofWater,Drama,20171201,R,85.0,19500000,166564,60940802,148340802,0.00854174358974359,1.31867146860009,-0.5323183211780705,-0.5836043731737907,-0.3552303681563311
#BabyDriver,Thriller/Suspense,20170628,R,85.33,34000000,20553320,107825862,228104185,0.6045094117647059,1.335047708044802,-0.28704635871630413,0.013877993507358839,2.889285571637333
#PhantomThread,Drama,20171225,R,87.0,35000000,216495,20713025,41413025,0.006185571428571428,1.4179214046286488,-0.27013105096032025,-0.5821410264770059,0.002065015000030892
#ThreeBillboardsOutsideEbbingMissouri,Comedy,20171110,R,87.67,12000000,322168,53339205,142339205,0.026847333333333334,1.451170133198216,-0.6591831293479498,-0.5790440279091957,-0.28555905196812514
#Coco,Musical,20171122,PG,87.67,175000000,50802605,208845284,739188107,0.2903006,1.451170133198216,2.098012034877425,0.9004052267862874,6.220894421648216
#BlackPanther,Action,20180216,PG-13,88.0,200000000,202003951,561697180,1078297180,1.010019755,1.4675463726429283,2.5208947287770225,5.331720245882771,17.68194085818549
#Dunkirk,Action,20170721,PG-13,89.0,150000000,50513488,188373161,499518504,0.3367565866666667,1.5171713406572078,1.6751293409778276,0.891931965547091,5.986434372729217
#LadyBird,Drama,20171103,R,89.67,10000000,364437,48701472,64901472,0.0364437,1.550420069226775,-0.6930137448599176,-0.5778052343435472,-0.188873044320237
#BeautyandtheBeast,Musical,20170317,G,89.67,160000000,174750616,504014165,1263109573,1.09219135,1.550420069226775,1.8442824185376667,4.532996452074958,15.737269441914357
#Baahubali2TheConclusion,Action,20170428,NOT RATED,92.0,30000000,10430497,18985794,263585794,0.34768323333333334,1.6660462447000461,-0.3547075897402397,-0.28279540777013595,1.7887975394195346
